Title,Description,Alert Type,Alert Expires,Search 
 Search to Identify Nishang Framework Utilising EventCode 4688 (90d),"The Splunk search query you provided will search for Windows Event logs related to Event Code 4104, that contain the string ""powercat"" in their events. Specifically, it will search for these logs in two indexes: ""prod_windows"" and ""prod_windows_ad"", as well as in an index called ""test_windows_iis"", and the sourcetype of the logs should be ""WinEventLog"".

To break down the query further:

""index=prod_windows OR index=prod_windows_ad OR index=test_windows_iis"": This section of the query specifies which indexes to search. It will search in three indexes: ""prod_windows"", ""prod_windows_ad"", and ""test_windows_iis"".
""sourcetype=""WinEventLog"""": This specifies the sourcetype of the logs to search, which in this case is ""WinEventLog"".
""EventCode=4104"": This specifies the specific Event Code to search for, which is 4104.
""powercat"": This is the search term for the events. It will search for events that contain the string ""powercat"", with any number of characters before or after it, indicated by the asterisks (*).",Always,24h,"index=prod_windows OR index=prod_windows_ad OR index=test_windows_iis sourcetype=""WinEventLog"" EventCode=4104 ""*powercat*"""
 Search to identify web shell URIs via anomalous IP address access,"This Splunk search query does the following:

index=*: Searches all indexes.
fillnull value=-: Replaces null values with - in all fields.
search status>=""200"" status<=""300"" uri!="""" clientip!="""": Filters events that have a status code between 200 and 300, a non-empty URI, and a non-empty client IP.
stats dc(useragent) as dc_user_agent values(useragent) as values_user_agent dc(clientip) as dc_src values(clientip) as values_src count by uri: Groups the events by URI and calculates the number of unique user agents (dc_user_agent), the distinct values of user agents (values_user_agent), the number of unique client IPs (dc_src), the distinct values of client IPs (values_src), and the count of events for each URI.
search dc_src<=5 OR dc_user_agent<=5: Filters the events to show only those where the number of unique client IPs (dc_src) or the number of unique user agents (dc_user_agent) is less than or equal to 5.
table uri dc_user_agent values_user_agent dc_src values_src: Displays the results in a tabular format, showing the URI, the number of unique user agents, the distinct values of user agents, the number of unique client IPs, and the distinct values of client IPs.",Always,24h,"index=*
| fillnull value=- 
| search status>=""200"" status<=""300"" uri!="""" clientip!=""""
| stats dc(useragent) as dc_user_agent values(useragent) as values_user_agent dc(clientip) as dc_src values(clientip) as values_src count by uri 
| search dc_src<=5 OR dc_user_agent<=5 
| table uri dc_user_agent values_user_agent dc_src values_src"
 Search to view connections to/fromseen IPS.,"This Splunk search query is searching the ""prod_cisco_asa"" index for events where the source IP address (src) matches a specific range of IP addresses (150.129.8.4, 150.129.8.5, 150.129.8.6, 150.129.8.8 through 150.129.8.17, 150.129.8.19, 150.129.8.23 through 150.129.8.28, and 150.129.8.30 through 150.129.8.34).

The search then uses the ""stats"" command to aggregate the results and return the earliest and latest timestamps for each unique combination of source and destination IP addresses (src and dest). Additionally, it returns the values of other fields such as ""Device"", ""Src_port"", ""Dest_port"", ""Transport"", ""Description"", ""Bytes"", ""Action"", and ""Severity"" associated with the events in the search.

Finally, the ""convert"" command is used to convert the earliest and latest timestamps from Unix time format to human-readable time format (using the ""ctime"" function).",Always,24h,"index=prod_cisco_asa src=150.129.8.{4,5,6,8-17,19,23-28,30-34} 
| stats earliest(_time) as Earliest latest(_time) as Latest values(dvc) as Device 
values(src_port) as Src_port values(dest_port) as Dest_port values(transport) as Transport 
values(description) as Description values(bytes) as Bytes values(Cisco_ASA_action) as Action 
values(severity_level) as Severity by src dest 
| convert ctime(Earliest) ctime(Latest)"
 Search to view hashe,"This Splunk search query searches across all indexes for events that contain any of the listed strings within parentheses. The strings appear to be arbitrary alphanumeric sequences and could potentially be related to identifying specific events or data sets. Without additional context, it is difficult to determine the purpose or meaning of the query.",Always,24h,"index=*
  (abfa2a78b07ab43f637f2f6fd35e2e40983bb1033ba2beac9602745d5a54d257 OR
   5924160dbc013d83a07ef1a9df8503de9bc1e577 OR
   156685d32876f14d8e52bc6070004100 OR
   8dbef5f7ffa96759bd395938ed385c8cfe991f96402f900f0a571c844c7fb78d OR
   f9914b360284b987ab21f56aea9f6153fac23b84 OR
   25a50b573de8f82bf8d5b29386fb94d7 OR
   ac41e98905b8d5ca7ab3a06b3aa32fdabcbd31344f8b846d5062d3c3f9cf2942 OR
   f43349174986cc31754b6c48627dd67af05352ab OR
   5b8f8c6d171cb1b2e10d4264f5c3d9e6 OR
   9b7ce9e9799f2c0c6357179d6ebd8c70380b783daf120302c3c21b41a9a6d5c5 OR
   f07ddc53210435ca7fc1ef77577b058addcd63ce OR
   131ab3e4ec47ff73ad99d9b3ab9bc00b OR
   7190e8b5494bdbded7b48026eb7a0a51e103f7ef937f98c9cf91c344579e95f9 OR
   57e9c9f4b40ccd0a26dba3cdea0dd91f118fc1c9 OR
   7d758edc08b4fa1fd16a1c251306187c OR
   acce6fbf738203f7a7a33b2ffb0d1fc48f718792d783dac0aec2112ab0f1a13e OR
   0acbf782d01cf6ab3a797fd929e60da4b34e6876 OR
   4ca19cafb8b2f762637ffd255070b84e)"
 Search to view processes,"This Splunk search query will search for events or logs that match the following criteria:

The events/logs should belong to either the ""prod_servicenow"" or ""prod_windows"" index.
The events/logs should contain any of the following strings: ""999.exe"", ""888.exe"", ""777.exe"", or ""netscan6405.exe"".
The ""OR"" operator is used to specify multiple indexes and the ""OR"" operator is used to specify multiple strings that should be searched for within the events/logs.

Overall, this search query is useful for identifying events or logs related to specific executables across multiple indexes in Splunk.",Always,24h,index=prod_servicenow OR index=prod_windows (999.exe OR 888.exe OR 777.exe OR netscan6405.exe)
 While investigating threat hunt some further activity was identified.,"The Splunk search query you provided is searching for data in all indexes that contains any of the following file paths or file names:

%APPDATA%\pid.txt
%APPDATA%\pidloc.txt
%TEMP%\holdermail.txt
%TEMP%\holderwb.txt
\Sys.exe
\autorun.inf
E\autorun.inf
%TEMP%\SysInfo.txt
%APPDATA%\Wind
The index=* part of the query specifies that data should be searched in all available indexes.

So, this search query is likely being used to look for any events or data related to files with these names or paths, which may indicate potential security threats or malicious activity on the system.",Always,24h,"index=* (""%APPDATA%\pid.txt"" OR ""%APPDATA%\pidloc.txt"" OR ""%TEMP%\holdermail.txt"" OR 
""%TEMP%\holderwb.txt"" OR ""\Sys.exe"" OR ""\autorun.inf"" OR ""E\autorun.inf"" OR ""%TEMP%\SysInfo.txt"" OR 
""%APPDATA%\Wind"
Check For Connections to Domains (30d),"This Splunk search query is used to retrieve information about web traffic that has a specific set of destination URLs and referrer URLs.

Specifically, it uses the tstats command to aggregate statistics on fields related to web traffic from the Web datamodel. The WHERE clause filters the results to include only web traffic with destination URLs and referrer URLs that match the provided set of values.

Finally, the fields command is used to extract and display only the specific fields of interest: user, dest, url, method, referrer, userAgent, category, and action. The results are grouped by Web.url.",Always,24h,"| tstats values(Web.user) AS user, values(Web.dest) AS dest, values(Web.http_method) AS method, 
  values(Web.url) AS url, values(Web.http_referrer) AS referrer, values(Web.http_user_agent) AS 
  userAgent, values(Web.category) AS category, values(Web.action) AS action FROM datamodel=Web 
  WHERE Web.dest IN (""*f0525443.xsph.ru*"", ""*f0525538.xsph.ru*"", ""*f0526889.xsph.ru*"", 
  ""*f0528108.xsph.ru*"", ""*f0528018.xsph.ru*"", ""*f0528103.xsph.ru*"", ""*f0527632.xsph.ru*"", 
  ""*f0527590.xsph.ru*"", ""*f0527586.xsph.ru*"", ""*f0527577.xsph.ru*"", ""*f0527472.xsph.ru*"", 
  ""*f0527475.xsph.ru*"", ""*f0527235.xsph.ru*"", ""*f0526632.xsph.ru*"", ""*f0526333.xsph.ru*"", 
  ""*f0525244.xsph.ru*"", ""*f0525767.xsph.ru*"", ""*f0525168.xsph.ru*"", ""*f0525255.xsph.ru*"", 
  ""*f0525053.xsph.ru*"") AND Web.url IN (""*f0525443.xsph.ru*"", ""*f0525538.xsph.ru*"", 
  ""*f0526889.xsph.ru*"", ""*f0528108.xsph.ru*"", ""*f0528018.xsph.ru*"", ""*f0528103.xsph.ru*"", 
  ""*f0527632.xsph.ru*"", ""*f0527590.xsph.ru*"", ""*f0527586.xsph.ru*"", ""*f0527577.xsph.ru*"", 
  ""*f0527472.xsph.ru*"", ""*f0527475.xsph.ru*"", ""*f0527235.xsph.ru*"", ""*f0526632.xsph.ru*"", 
  ""*f0526333.xsph.ru*"", ""*f0525244.xsph.ru*"", ""*f0525767.xsph.ru*"", ""*f0525168.xsph.ru*"", 
  ""*f0525255.xsph.ru*"", ""*f0525053.xsph.ru*"") AND Web.http_referrer IN (*) BY Web.url
| fields user, dest, url, method, referrer, userAgent, category, action"
Check for evidence of mimikatz PrintNightmare module (30 days),"The Splunk search query you provided filters events from two indexes, test_windows and prod_windows, that match the following criteria:

The event must come from a source that starts with ""WinEventLog"" (e.g., ""WinEventLog:Security"").

The event must have either EventCode 4688 or EventCode 592.

The event must have a message containing the string ""miscprintnightmare"", OR the event must have a message that contains all of the following substrings: ""server"" followed by ""library"", followed by any number of characters, followed by "".dll"".

The query is searching for Windows security events that may be related to the ""PrintNightmare"" vulnerability.",Always,24h,"index IN (test_windows, prod_windows)
source=""WinEventLog*""
(EventCode=4688 OR EventCode=592) AND 
(""*miscprintnightmare*"" OR (""*/server*"" AND ""*/library\\*"" AND ""*.dll""))"
Checking for connections to the flagged domains over the last 30 days,"This Splunk search query performs the following steps:

It uses the tstats command to search for events in the Web data model where the Web.dest field matches any of the specified values.
It then selects and aggregates the minimum timestamp as Time, distinct values of Web.user as user, Web.dest as dest, Web.http_method as method, Web.url as url, Web.http_referrer as referrer, Web.http_user_agent as userAgent, Web.category as category, and Web.action as action.
It uses the fields command to extract the selected fields Time, user, dest, url, method, referrer, userAgent, category, and action.
Finally, it uses the convert command to convert the Time field to a human-readable timestamp format.
Overall, the search query is used to search for web events in the specified data model that match the specified criteria and then extract and format the selected fields for further analysis.",Always,24h,"| tstats min(_time) as Time values(Web.user) AS user, values(Web.dest) AS dest, values(Web.http_method) AS method, values(Web.url) AS url, values(Web.http_referrer) AS referrer, values(Web.http_user_agent) AS userAgent, values(Web.category) AS category, values(Web.action) AS action FROM datamodel=Web WHERE Web.dest IN (""*burkecctv.swanndvr.net*"", ""*sl-nbuapp02.coveinsurance.co.uk*"", ""*wifi.vivo.com.cn.a.bdydns.com*"", ""*opencdn.jomodns.com*"", ""*opencdnvivodtml.jomodns.com*"", ""*weu1-urlp.cloudapp.net*"", ""*weu-azsc-urlp.cloudapp.net*"", ""*urlp-asm-skype.trafficmanager.net*"", ""*weu-azsc-urlp.cloudapp.net*"", ""*apps.bdimg.jomodns.com*"", ""*statres.quickapp.cn.a.bdydns.com*"", ""*opencdnssl.jomodns.com*"", ""*statres.quickapp.cn.a.bdydns.com*"", ""*matrix.cdn.bcebos.com.a.bdydns.com*"", ""*opencdn.jomodns.com*"", ""*opencdnssl.jomodns.com*"", ""*194-218-16-66.customer.telia.com*"", ""*proxy.utcluj.ro*"", ""*pc19f01fd.dip0.t-ipconnect.de*"", ""*baikebcs.bdimg.com.a.bdydns.com*"", ""*opencdnbd.jomodns.com*"", ""*statres.quickapp.cn.a.bdydns.com*"", ""*matrix.cdn.bcebos.com.a.bdydns.com*"", ""*yd.edajin.com.a.bdydns.com*"", ""*opencdn.jomodns.com*"", ""*opencdnspy.jomodns.com*"", ""*opencdnssl.jomodns.com*"", ""*boscdn.djduoduo.com.a.bdydns.com*"", ""*m.shezhan88.com.a.bdydns.com*"", ""*opencdnspy.jomodns.com*"", ""*poi-pic.cdn.bcebos.com.a.bdydns.com*"", ""*opencdnv6test.jomodns.com*"", ""*wifi.vivo.com.cn.a.bdydns.com*"", ""*poi-pic.cdn.bcebos.com.a.bdydns.com*"", ""*opencdn.jomodns.com*"", ""*opencdnv6test.jomodns.com*"", ""*opencdnvivodtml.jomodns.com*"", ""*poi-pic.cdn.bcebos.com.a.bdydns.com*"", ""*talos-bundle.cdn.bcebos.com.a.bdydns.com*"", ""*opencdn.jomodns.com*"", ""*opencdnv6test.jomodns.com*"", ""*v5-cdn.1sapp.com*"", ""*poi-pic.cdn.bcebos.com.a.bdydns.com*"", ""*v5.qutoutiao.net.a.bdydns.com*"", ""*opencdnspyv6.jomodns.com*"", ""*opencdnssl.jomodns.com*"", ""*opencdnv6test.jomodns.com*"", ""*v5.qutoutiao.net.vdncache.com*"", ""*opencdnzhihustatic.jomodns.com*"", ""*node-kcx.pool-1-4.dynamic.totinternet.net*"") AND Web.url IN (*) AND Web.http_referrer IN (*) BY Web.url
| fields Time, user, dest, url, method, referrer, userAgent, category, action
| convert ctime(Time)"
Checking for connections to/from the flagged IP's over the last 30 days,"This is a Splunk search query that retrieves information about network traffic based on certain criteria. The query uses the tstats command to summarize data from the Network_Traffic data model.

The WHERE clause filters the results to only include traffic where the source IP address matches one of the specified IP addresses, and the destination IP and port are not specified (i.e., any destination IP and port are included).

The results are then grouped by the destination IP address and the action taken, and the fields Earliest, Latest, user, sourceIP, sourcePort, destinationIP, destinationPort, direction, and action are selected to be displayed.

Finally, the convert command is used to format the Earliest and Latest fields as human-readable timestamps in the format ""dd/mm/yy HHMMSS"".

Overall, this search query is used to investigate network traffic that originated from a specific set of source IP addresses and was directed to any destination IP address and port. It provides information about the user, source IP address, source port, destination IP address, destination port, direction, and action taken for each instance of this traffic.",Always,24h,"| tstats earliest(_time) AS ""Earliest"" latest(_time) AS ""Latest"" values(All_Traffic.user) AS user, 
  values(All_Traffic.src_ip) AS sourceIP, values(All_Traffic.src_port) AS sourcePort, 
  values(All_Traffic.dest_ip) AS destinationIP, values(All_Traffic.dest_port) AS destinationPort, 
  values(All_Traffic.direction) AS direction, values(All_Traffic.action) AS action 
  FROM datamodel=Network_Traffic 
  WHERE All_Traffic.src_ip IN (
    77.75.244.131, 70.32.1.32, 58.217.200.35, 52.114.75.71, 52.114.75.216, 42.101.56.49, 
    220.169.152.35, 219.153.113.35, 194.218.16.66, 193.226.5.155, 193.226.5.148, 193.159.1.253, 
    180.101.38.35, 171.107.86.38, 171.107.86.35, 124.236.41.35, 124.236.104.35, 124.225.184.35, 
    123.52.189.35, 121.227.7.35, 120.71.177.35, 118.180.30.35, 117.91.181.35, 113.96.178.41, 
    110.80.30.35, 106.225.194.49, 106.225.194.35, 1.4.231.17
  ) 
  All_Traffic.dest_ip IN (*) 
  All_Traffic.dest_port IN (*) 
  BY All_Traffic.dest_ip, All_Traffic.action 
| fields Earliest, Latest, user, sourceIP, sourcePort, destinationIP, destinationPort, direction, action 
| convert ctime(""Earliest"") ctime(""Latest"") timeformat=""%d/%m/%y %H%M%S"""
Checking for malware events using flagged domains over the last 30 days,"This Splunk search query searches for events related to the Malware datamodel, which contains data related to malware attacks. Specifically, it retrieves the count of events that have a value in any of the Malware_Attacks fields that match any of the specified patterns.

The tstats command is used to compute statistics from a set of events, and the summariesonly=t option tells Splunk to only return the aggregated results, rather than the raw events.

The from datamodel=Malware clause specifies that the events should be retrieved from the Malware datamodel.

The WHERE clause filters the events based on the values of the Malware_Attacks fields. The .* in the patterns match any characters before and after the specified string. The IN keyword indicates that any of the specified patterns can match to retrieve an event.

Overall, the query returns the count of events that have any of the specified strings in any of the Malware_Attacks fields.",Always,24h,"| tstats count summariesonly=t from datamodel=Malware WHERE Malware_Attacks.* IN (""*burkecctv.swanndvr.net*"",
""*sl-nbuapp02.coveinsurance.co.uk*"",
""*wifi.vivo.com.cn.a.bdydns.com*"",
""*opencdn.jomodns.com*"",
""*opencdnvivodtml.jomodns.com*"",
""*weu1-urlp.cloudapp.net*"",
""*weu-azsc-urlp.cloudapp.net*"",
""*urlp-asm-skype.trafficmanager.net*"",
""*apps.bdimg.jomodns.com*"",
""*statres.quickapp.cn.a.bdydns.com*"",
""*opencdnssl.jomodns.com*"",
""*matrix.cdn.bcebos.com.a.bdydns.com*"",
""*194-218-16-66.customer.telia.com*"",
""*proxy.utcluj.ro*"",
""*pc19f01fd.dip0.t-ipconnect.de*"",
""*baikebcs.bdimg.com.a.bdydns.com*"",
""*opencdnbd.jomodns.com*"",
""*yd.edajin.com.a.bdydns.com*"",
""*boscdn.djduoduo.com.a.bdydns.com*"",
""*m.shezhan88.com.a.bdydns.com*"",
""*poi-pic.cdn.bcebos.com.a.bdydns.com*"",
""*opencdnv6test.jomodns.com*"",
""*talos-bundle.cdn.bcebos.com.a.bdydns.com*"",
""*v5-cdn.1sapp.com*"",
""*v5.qutoutiao.net.a.bdydns.com*"",
""*opencdnspyv6.jomodns.com*"",
""*v5.qutoutiao.net.vdncache.com*"",
""*opencdnzhihustatic.jomodns.com*"",
""*node-kcx.pool-1-4.dynamic.totinternet.net"") "
Checking for malware events using flagged IPS over the last 30 days,"This Splunk search query is searching for events related to malware attacks by using the tstats command to retrieve the count of events that match the specified criteria. The search is limited to the datamodel named ""Malware"" and is looking for events that have any field under the Malware_Attacks data model that match any of the specified IP addresses.

The summariesonly=t option is used to return only summarized results, which means that the output will show only the total count of events that match the search criteria, without showing the individual events.

In summary, this search query is looking for the total count of events related to malware attacks from the specified list of IP addresses within the Malware datamodel.",Always,24h,"| tstats count summariesonly=t from datamodel=Malware WHERE Malware_Attacks.* IN (77.75.244.131, 70.32.1.32, 58.217.200.35, 52.114.75.71, 52.114.75.216, 42.101.56.49, 220.169.152.35, 219.153.113.35, 194.218.16.66, 193.226.5.155, 193.226.5.148, 193.159.1.253, 180.101.38.35, 171.107.86.38, 171.107.86.35, 124.236.41.35, 124.236.104.35, 124.225.184.35, 123.52.189.35, 121.227.7.35, 120.71.177.35, 118.180.30.35, 117.91.181.35, 113.96.178.41, 110.80.30.35, 106.225.194.49, 106.225.194.35, 1.4.231.17)"
Checkpoint Address Spoofing,"This Splunk search query retrieves information from the ""prod_checkpoint"" index where the action is ""Detect"". It then uses the ""stats"" command to count the number of events for each unique combination of values in the ""origin"", ""src_ip"", ""message_info"", ""dest_ip"", and ""dest_port"" fields.

The ""lookup"" command is then used to add a new field to the search results by referencing another dataset named ""MySubnets"". Specifically, it maps the ""src_ip"" and ""dest_ip"" fields to the ""subnet"" field in the ""MySubnets"" dataset, and retrieves the corresponding value from the ""location"" field in that dataset. The resulting fields are named ""src_location"" and ""dest_location"".

The search results are then sorted in descending order by the ""count"" field using the ""sort"" command. The ""search"" command is then used to filter the results to only show events where the ""count"" field is greater than 500. Finally, the ""table"" command is used to display only the specified fields, including the ""origin"", ""src_ip"", ""src_location"", ""message_info"", ""dest_ip"", ""dest_port"", ""dest_location"", and ""count"".

In summary, this search query retrieves and displays information about network traffic events where the ""action"" field is ""Detect"" in the ""prod_checkpoint"" index, and where the number of events for a unique combination of values in several fields is greater than 500. It also includes additional information about the source and destination locations of the traffic.",Always,24h,"index=prod_checkpoint action=Detect 
| stats count by origin, src_ip, message_info, dest_ip , dest_port 
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| sort -count 
| search count > 500
| table origin, src_ip, src_location, message_info, dest_ip, dest_port, dest_location, count"
Checkpoint Firewall Blocks,"This is a search query written in the Splunk query language. It is used to search for specific events in a data set stored in the ""prod_checkpoint"" index.

Here's what the query does step by step:

Filter events with the action ""Drop"" and exclude the external IP address from the results.

Aggregate the results using the ""stats"" command to count the number of events by specific fields such as origin, source IP, destination IP, destination port, action, rule name, and the index where the event was found.

Sort the results in descending order based on the count of events using the ""sort"" command.

Select the top 20 results using the ""head"" command.

Perform a lookup in the ""MySubnets"" data set to map the source and destination IP addresses to their corresponding location.

Perform a lookup in the ""WellKnownPorts"" data set to map the destination port number to its description.

Rename the ""origin"" field to ""Firewall"".

Select and display the fields count, Firewall, source IP, source location, destination IP, destination port, port description, destination location, and rule name using the ""table"" command.

In summary, this query is used to search for dropped traffic events in the ""prod_checkpoint"" index, and it provides detailed information about the source and destination of these events, as well as the rule name that caused the drop, and the location of the source and destination IP addresses.",Always,24h,"index=prod_checkpoint action=Drop dest_ip!=""Whatever the external IP address is""
| stats count by index, origin, src_ip, dest_ip, dest_port, action, rule_name
| sort -count
| head 20
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| lookup WellKnownPorts port as dest_port OUTPUT description as Port
| rename origin as ""Firewall""
| table count, Firewall, src_ip, src_location, dest_ip, dest_port,Port,  dest_location, rule_name"
Checkpoint Not Accepts,"The Splunk search query you provided performs the following actions:

Search for events in the ""prod_checkpoint"" index where the ""action"" field does not equal ""Accept"".
Group the events by the ""origin"", ""src_ip"", ""action"", ""dest_ip"", and ""dest_port"" fields, and count the number of events in each group.
Look up the ""src_ip"" and ""dest_ip"" values in the ""MySubnets"" lookup table and add the corresponding ""location"" field to the results as ""src_location"" and ""dest_location"" respectively.
Sort the results in descending order based on the count of events.
Display the results in a table that includes the ""origin"", ""src_ip"", ""src_location"", ""action"", ""dest_ip"", ""dest_port"", ""dest_location"", and ""count"" fields.
In summary, the search query helps to identify the number of events grouped by origin, source IP, action, destination IP, and port, and then provides location information for both the source and destination IPs by performing a lookup on a lookup table. The final result is presented in a tabular format.",Always,24h,"index=prod_checkpoint action!=Accept
|  stats count by origin, src_ip, action, dest_ip , dest_port
| lookup MySubnets subnet as src_ip OUTPUT location as src_location
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| sort -count
| table origin, src_ip, src_location, action, dest_ip, dest_port , dest_location , count"
Checkpoint Scanner Blocks,"This Splunk search query is looking for events in the ""prod_checkpoint"" index where the action is ""Drop"" and the source IP address is one of the listed IP addresses. The IP addresses are divided into two groups, one labeled as ""Rapid 7 Scan Engines"" and the other as ""Servers for Service Now"". The query then uses the ""stats"" command to aggregate the events by various fields, including the source IP address, destination IP address, destination port, and the name of the firewall rule that triggered the event. The query then sorts the results in descending order by the count of events and performs two lookups against a lookup table named ""MySubnets"" to translate the source and destination IP addresses into their corresponding locations. Finally, the results are displayed in a table format that includes the count of events, the name of the firewall, the source IP address and location, the destination IP address and location, the destination port, and the name of the firewall rule.",Always,24h,"index=prod_checkpoint action=Drop src_ip IN (
``` Rapid 7 Scan Engines ```
""10.70.90.20"",
""10.70.90.21"",
""10.70.90.22"",
""10.80.90.20"",
""10.80.90.21"",
""10.80.90.22"",
``` Servers for Service Now ```
""10.70.181.10"",
""10.70.181.11"",
""10.70.181.12"",
""10.80.181.10"",
""10.80.181.11"",
""10.80.181.12""
)
| stats count by index, origin, src_ip, dest_ip, dest_port, action, rule_name
| sort -count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| rename origin as ""Firewall""
| table count, firewall, src_ip, src_location, dest_ip, dest_port, dest_location, rule_name"
Checkpoint Top Talkers V3,"This Splunk search query retrieves summarized network traffic data from the ""Network_Traffic"" data model where the ""sourcetype"" is ""cp_Firewall"", the destination IP is a specific external IP address and the action is not ""Drop"". The summarized data is grouped by source IP, action, and destination IP.

Then, the query renames the fields using wildcards and performs two lookups on the ""MySubnets"" table to add the source and destination locations to the results. The query also calculates the values of ""GBytes,"" ""GBytes_Out,"" and ""GBytes_In,"" which represent the total number of gigabytes of traffic, outbound traffic, and inbound traffic, respectively.

After that, the query sorts the results by ""Bytes"" in descending order and selects the top 20 results. Finally, the query returns a subset of the fields including ""Source IP,"" ""src_location,"" ""action,"" ""GBytes,"" ""GBytes_In,"" ""GBytes_Out,"" ""dest_ip,"" and ""dest_location.""

Overall, this query is used to investigate network traffic for a specific external IP address and to identify the top 20 sources of traffic based on the amount of data transferred.",Always,24h,"| tstats summariesonly=t sum(All_Traffic.bytes) AS Bytes sum(All_Traffic.bytes_in) as Bytes_In sum(All_Traffic.bytes_out) as Bytes_Out FROM datamodel=Network_Traffic WHERE sourcetype=""cp_Firewall"" All_traffic.dest_ip=""Whatever the external IP address is"" NOT All_Traffic.action IN (""Drop"") BY All_Traffic.src_ip, All_Traffic.action, All_Traffic.dest_ip
| rename All_Traffic.* AS * 
| lookup MySubnets subnet as src_ip OUTPUT location as src_location 
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location 
| rename src_ip AS ""Source IP""
| eval GBytes = round(Bytes / 1024 /1024 /1024, 2) 
| eval GBytes_Out = round(Bytes_Out / 1024 /1024 /1024, 2) 
| eval GBytes_In = round(Bytes_In / 1024 /1024 /1024, 2) 
| sort - Bytes
| head 20
| fields ""Source IP"", src_location, action, GBytes, GBytes_In, GBytes_Out , dest_ip, dest_location"
Cisco Scanner Blocks,"This Splunk search query is designed to retrieve information from logs generated by Cisco ASA (Adaptive Security Appliance) firewalls. The query filters logs from a specific index called ""prod_cisco_asa"" and searches for firewall actions where the source IP address is one of the listed addresses.

The search results are then aggregated and counted by index, host, source IP, destination IP, destination port, firewall action, and rule ID. The results are sorted in descending order by the count.

Two lookups are performed using a lookup table named ""MySubnets"", which maps IP addresses to physical locations. The first lookup maps the source IP address to its physical location and the second lookup maps the destination IP address to its physical location.

Finally, the search results are formatted and displayed in a table format that includes the count, firewall name, source IP, source location, destination IP, destination port, destination location, and rule ID.",Always,24h,"index=prod_cisco_asa Cisco_ASA_action=den* src_ip IN (
    ""10.70.90.20"",
    ""10.70.90.21"",
    ""10.70.90.22"",
    ""10.80.90.20"",
    ""10.80.90.21"",
    ""10.80.90.22"",
    ""10.70.181.10"",
    ""10.70.181.11"",
    ""10.70.181.12"",
    ""10.80.181.10"",
    ""10.80.181.11"",
    ""10.80.181.12""
)
| stats count by index, host, src_ip, dest_ip, dest_port, Cisco_ASA_action, rule_id
| sort -count
| lookup MySubnets subnet as src_ip OUTPUT location as src_location
| lookup MySubnets subnet as dest_ip OUTPUT location as dest_location
| rename host as ""Firewall""
| table count, Firewall, src_ip, src_location, dest_ip, dest_port, dest_location, rule_id"
DNS Analysis,"This Splunk search query is designed to retrieve network traffic data related to a specific type of firewall sourcetype (cp_Firewall) and filtered by destination port 53, which is commonly used for DNS traffic. The data is then grouped by source IP address, action, destination IP address, and destination port, and a count is calculated for each group.

The next few lines of the query are used to enhance the data with additional information. The lookup command is used to retrieve location information for the source and destination IP addresses based on a lookup table called ""MySubnets."" The rename command is then used to clean up the field names.

Finally, the fields command is used to select only a subset of the fields, including the newly added ""Source Location"" and ""Destination Location"" fields, the ""Source IP,"" ""Destination IP,"" ""Destination Port,"" ""action,"" and ""count"" fields. The results are sorted in descending order based on the count field.

Overall, this query is useful for identifying network traffic patterns related to DNS traffic and can be used to gain insights into the behavior of network users and applications.",Always,24h,"| tstats summariesonly=t count FROM datamodel=Network_Traffic WHERE sourcetype=""cp_Firewall"" All_Traffic.dest_port=""53"" All_Traffic.src_ip=* All_Traffic.dest_ip=""*"" BY All_Traffic.src_ip, All_Traffic.action, All_Traffic.dest_ip, All_Traffic.dest_port
| rename All_Traffic.* AS *
| lookup MySubnets subnet AS src_ip OUTPUT location AS ""Source Location""
| lookup MySubnets subnet AS dest_ip OUTPUT location AS ""Destination Location""
| rename src_ip AS ""Source IP"", dest_ip AS ""Destination IP"", dest_port AS ""Destination Port""
| fields ""Source Location"", ""Source IP"", ""Destination Location"", ""Destination IP"", ""Destination Port"", action, count
| sort -count"
